epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.525,1.91344,6.78516,2.10659,0.22989,0.23158,0.09102,0.02756,1.21015,25.5662,1.66981,0.00012,0.00012,0.00012
2,219.709,1.3562,3.99294,1.69446,0.40316,0.4,0.36544,0.21765,0.89151,10.7534,1.33526,0.000257426,0.000257426,0.000257426
3,322.683,1.03073,2.2971,1.34015,0.39816,0.45263,0.34078,0.15202,1.39266,11.9819,1.7995,0.00039208,0.00039208,0.00039208
4,422.4,0.98776,2.51753,1.44357,0.63225,0.4,0.46299,0.29262,1.05942,7.99927,1.5115,0.000523962,0.000523962,0.000523962
5,524.358,0.85028,1.73098,1.24954,0.3914,0.92632,0.80842,0.58983,0.71022,7.88791,1.22401,0.000653072,0.000653072,0.000653072
6,661.403,0.87352,1.88621,1.32015,0.39509,0.85263,0.44556,0.30574,0.81407,5.21806,1.32996,0.00077941,0.00077941,0.00077941
7,794.446,0.88483,1.80844,1.29192,0.39509,0.85263,0.44556,0.30574,0.81407,5.21806,1.32996,0.000902976,0.000902976,0.000902976
8,914.215,0.91562,1.91014,1.3755,0.60334,0.70526,0.64181,0.48123,0.86585,4.07175,1.39717,0.00102377,0.00102377,0.00102377
9,1024.37,0.9172,1.62814,1.3675,0.64828,0.66316,0.73344,0.49912,1.00662,1.9049,1.5016,0.00114179,0.00114179,0.00114179
10,1135.44,0.91394,1.40623,1.31948,0.64828,0.66316,0.73344,0.49912,1.00662,1.9049,1.5016,0.00125704,0.00125704,0.00125704
11,1239.46,0.99407,1.32984,1.32028,0.70485,0.68421,0.71362,0.32163,1.56576,2.13008,2.03241,0.00136952,0.00136952,0.00136952
12,1343.79,1.11892,1.42491,1.43508,0.70485,0.68421,0.71362,0.32163,1.56576,2.13008,2.03241,0.00147923,0.00147923,0.00147923
13,1445.75,1.04268,1.40162,1.38083,0.69489,0.64211,0.74608,0.42448,1.08733,2.00998,1.66827,0.00158616,0.00158616,0.00158616
14,1548.6,0.98461,1.31487,1.32146,0.69489,0.64211,0.74608,0.42448,1.08733,2.00998,1.66827,0.00169032,0.00169032,0.00169032
15,1651.09,1.10277,1.32614,1.40144,0.65576,0.68179,0.71838,0.41031,1.13885,2.1977,1.6023,0.0017228,0.0017228,0.0017228
16,1756.81,1.09119,1.26867,1.42355,0.65576,0.68179,0.71838,0.41031,1.13885,2.1977,1.6023,0.001703,0.001703,0.001703
17,1863.24,1.25863,1.54619,1.56389,0.64576,0.7292,0.77073,0.51706,1.10003,1.40763,1.57679,0.0016832,0.0016832,0.0016832
18,1970.27,0.91453,1.17567,1.29434,0.64576,0.7292,0.77073,0.51706,1.10003,1.40763,1.57679,0.0016634,0.0016634,0.0016634
19,2073.94,0.87989,1.16924,1.29572,0.64576,0.7292,0.77073,0.51706,1.10003,1.40763,1.57679,0.0016436,0.0016436,0.0016436
20,2178.8,0.93819,1.07689,1.34702,0.6635,0.70526,0.74565,0.44839,1.37965,1.40167,1.82912,0.0016238,0.0016238,0.0016238
21,2284.84,0.93596,1.02931,1.33727,0.6635,0.70526,0.74565,0.44839,1.37965,1.40167,1.82912,0.001604,0.001604,0.001604
22,2393.06,1.04028,1.16396,1.47637,0.67668,0.61053,0.65499,0.39604,1.33411,1.55785,1.7909,0.0015842,0.0015842,0.0015842
23,2497.47,0.98876,1.02112,1.3911,0.67668,0.61053,0.65499,0.39604,1.33411,1.55785,1.7909,0.0015644,0.0015644,0.0015644
24,2600.41,1.04863,1.09996,1.3593,0.68131,0.85263,0.84881,0.56648,0.97051,1.12103,1.45054,0.0015446,0.0015446,0.0015446
25,2702.44,0.87157,0.9643,1.24231,0.68131,0.85263,0.84881,0.56648,0.97051,1.12103,1.45054,0.0015248,0.0015248,0.0015248
